Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Parkinson's disease,Gene33,Carbidopa,SMILES424,SideEffect39,TargetClass18,Pathway8,1
Parkinson's disease,Gene19,Levodopa,SMILES204,SideEffect9,TargetClass9,Pathway13,1
Type 2 Diabetes,Gene24,Metformin,SMILES453,SideEffect28,TargetClass3,Pathway2,1
Depression,Gene64,Trastuzumab,SMILES379,SideEffect45,TargetClass17,Pathway9,0
Depression,Gene81,Fluoxetine,SMILES106,SideEffect32,TargetClass10,Pathway11,1
Lung Cancer,Gene98,Gefitinib,SMILES64,SideEffect7,TargetClass10,Pathway10,1
Depression,Gene76,Fluoxetine,SMILES445,SideEffect46,TargetClass11,Pathway11,1
Lung Cancer,Gene24,Gefitinib,SMILES125,SideEffect19,TargetClass18,Pathway4,1
COVID-19,Gene26,Remdesivir,SMILES493,SideEffect5,TargetClass3,Pathway13,1
Alzheimer's disease,Gene68,Memantine,SMILES58,SideEffect28,TargetClass16,Pathway11,1
Parkinson's disease,Gene63,Molnupiravir,SMILES162,SideEffect49,TargetClass8,Pathway6,0
Parkinson's disease,Gene87,Carbidopa,SMILES86,SideEffect32,TargetClass7,Pathway6,1
Parkinson's disease,Gene50,Memantine,SMILES336,SideEffect23,TargetClass10,Pathway12,0
Alzheimer's disease,Gene83,Donepezil,SMILES93,SideEffect22,TargetClass9,Pathway5,1
Type 2 Diabetes,Gene16,Metformin,SMILES97,SideEffect9,TargetClass6,Pathway13,1
Depression,Gene79,Fluoxetine,SMILES367,SideEffect39,TargetClass8,Pathway7,1
COVID-19,Gene7,Molnupiravir,SMILES355,SideEffect31,TargetClass6,Pathway8,1
Alzheimer's disease,Gene53,Memantine,SMILES172,SideEffect26,TargetClass6,Pathway7,1
Type 2 Diabetes,Gene32,Metformin,SMILES366,SideEffect3,TargetClass11,Pathway11,1
Depression,Gene6,Fluoxetine,SMILES202,SideEffect17,TargetClass8,Pathway9,1
Depression,Gene46,Fluoxetine,SMILES63,SideEffect40,TargetClass12,Pathway13,1
Breast Cancer,Gene58,Trastuzumab,SMILES86,SideEffect9,TargetClass12,Pathway4,1
Breast Cancer,Gene23,Tamoxifen,SMILES183,SideEffect16,TargetClass11,Pathway6,1
Parkinson's disease,Gene53,Levodopa,SMILES473,SideEffect45,TargetClass14,Pathway12,1
Type 2 Diabetes,Gene93,Metformin,SMILES398,SideEffect45,TargetClass2,Pathway6,1
Parkinson's disease,Gene72,Carbidopa,SMILES216,SideEffect34,TargetClass15,Pathway7,1
Alzheimer's disease,Gene35,Donepezil,SMILES338,SideEffect19,TargetClass5,Pathway9,1
Alzheimer's disease,Gene17,Memantine,SMILES286,SideEffect24,TargetClass11,Pathway3,1
Type 2 Diabetes,Gene73,Erlotinib,SMILES40,SideEffect11,TargetClass19,Pathway6,0
Depression,Gene81,Sertraline,SMILES218,SideEffect14,TargetClass14,Pathway3,1
Parkinson's disease,Gene2,Molnupiravir,SMILES387,SideEffect14,TargetClass17,Pathway3,0
COVID-19,Gene30,Molnupiravir,SMILES314,SideEffect38,TargetClass4,Pathway3,1
Parkinson's disease,Gene30,Trastuzumab,SMILES237,SideEffect23,TargetClass19,Pathway8,0
Parkinson's disease,Gene3,Trastuzumab,SMILES211,SideEffect20,TargetClass11,Pathway13,0
COVID-19,Gene28,Remdesivir,SMILES302,SideEffect3,TargetClass16,Pathway3,1
Alzheimer's disease,Gene66,Memantine,SMILES215,SideEffect40,TargetClass7,Pathway12,1
COVID-19,Gene98,Molnupiravir,SMILES349,SideEffect48,TargetClass3,Pathway6,1
Alzheimer's disease,Gene5,Memantine,SMILES260,SideEffect16,TargetClass18,Pathway13,1
Alzheimer's disease,Gene39,Memantine,SMILES495,SideEffect19,TargetClass10,Pathway8,1
Depression,Gene70,Memantine,SMILES110,SideEffect13,TargetClass3,Pathway5,0
Depression,Gene18,Sertraline,SMILES148,SideEffect21,TargetClass14,Pathway8,1
Type 2 Diabetes,Gene97,Glipizide,SMILES248,SideEffect34,TargetClass4,Pathway2,1
Depression,Gene30,Sertraline,SMILES273,SideEffect4,TargetClass8,Pathway7,1
Lung Cancer,Gene76,Gefitinib,SMILES170,SideEffect13,TargetClass11,Pathway6,1
Alzheimer's disease,Gene43,Trastuzumab,SMILES361,SideEffect49,TargetClass7,Pathway8,0
COVID-19,Gene39,Erlotinib,SMILES100,SideEffect36,TargetClass19,Pathway12,0
Breast Cancer,Gene20,Tamoxifen,SMILES100,SideEffect35,TargetClass16,Pathway12,1
Lung Cancer,Gene17,Gefitinib,SMILES498,SideEffect27,TargetClass11,Pathway3,1
Lung Cancer,Gene98,Erlotinib,SMILES374,SideEffect29,TargetClass3,Pathway10,1
Lung Cancer,Gene75,Erlotinib,SMILES475,SideEffect49,TargetClass16,Pathway7,1
Depression,Gene46,Fluoxetine,SMILES232,SideEffect36,TargetClass10,Pathway2,1
Parkinson's disease,Gene7,Metformin,SMILES245,SideEffect11,TargetClass12,Pathway6,0
Depression,Gene33,Sertraline,SMILES235,SideEffect16,TargetClass6,Pathway11,1
Breast Cancer,Gene99,Trastuzumab,SMILES317,SideEffect31,TargetClass17,Pathway9,1
Alzheimer's disease,Gene3,Donepezil,SMILES37,SideEffect48,TargetClass19,Pathway12,1
Breast Cancer,Gene49,Trastuzumab,SMILES380,SideEffect26,TargetClass16,Pathway9,1
COVID-19,Gene2,Sertraline,SMILES232,SideEffect4,TargetClass9,Pathway4,0
Breast Cancer,Gene47,Tamoxifen,SMILES168,SideEffect28,TargetClass8,Pathway1,1
Breast Cancer,Gene53,Tamoxifen,SMILES124,SideEffect24,TargetClass13,Pathway1,1
Lung Cancer,Gene1,Gefitinib,SMILES133,SideEffect20,TargetClass8,Pathway11,1
Type 2 Diabetes,Gene2,Sertraline,SMILES479,SideEffect43,TargetClass19,Pathway12,0
Lung Cancer,Gene65,Trastuzumab,SMILES494,SideEffect17,TargetClass14,Pathway6,0
Lung Cancer,Gene90,Erlotinib,SMILES413,SideEffect33,TargetClass10,Pathway7,1
Lung Cancer,Gene47,Fluoxetine,SMILES358,SideEffect15,TargetClass15,Pathway14,0
Parkinson's disease,Gene62,Trastuzumab,SMILES332,SideEffect11,TargetClass5,Pathway9,0
Breast Cancer,Gene28,Memantine,SMILES22,SideEffect35,TargetClass2,Pathway14,0
Type 2 Diabetes,Gene88,Glipizide,SMILES490,SideEffect30,TargetClass14,Pathway6,1
Type 2 Diabetes,Gene73,Metformin,SMILES212,SideEffect48,TargetClass8,Pathway7,1
Lung Cancer,Gene76,Gefitinib,SMILES86,SideEffect21,TargetClass10,Pathway13,1
Type 2 Diabetes,Gene90,Metformin,SMILES173,SideEffect30,TargetClass19,Pathway6,1
Breast Cancer,Gene22,Trastuzumab,SMILES87,SideEffect20,TargetClass13,Pathway13,1
Depression,Gene40,Erlotinib,SMILES444,SideEffect22,TargetClass9,Pathway10,0
Breast Cancer,Gene92,Trastuzumab,SMILES367,SideEffect39,TargetClass2,Pathway13,1
Breast Cancer,Gene95,Tamoxifen,SMILES191,SideEffect19,TargetClass1,Pathway10,1
Parkinson's disease,Gene58,Carbidopa,SMILES190,SideEffect39,TargetClass19,Pathway14,1
Type 2 Diabetes,Gene82,Glipizide,SMILES313,SideEffect21,TargetClass4,Pathway10,1
Depression,Gene13,Sertraline,SMILES167,SideEffect44,TargetClass8,Pathway2,1
Depression,Gene17,Sertraline,SMILES474,SideEffect17,TargetClass19,Pathway11,1
Breast Cancer,Gene65,Memantine,SMILES494,SideEffect20,TargetClass7,Pathway9,0
Type 2 Diabetes,Gene31,Tamoxifen,SMILES371,SideEffect28,TargetClass17,Pathway10,0
Lung Cancer,Gene20,Fluoxetine,SMILES188,SideEffect18,TargetClass11,Pathway9,0
Lung Cancer,Gene63,Remdesivir,SMILES171,SideEffect15,TargetClass2,Pathway8,0
Alzheimer's disease,Gene24,Memantine,SMILES424,SideEffect43,TargetClass14,Pathway2,1
Depression,Gene43,Sertraline,SMILES297,SideEffect17,TargetClass15,Pathway8,1
Depression,Gene99,Fluoxetine,SMILES397,SideEffect25,TargetClass16,Pathway13,1
Depression,Gene98,Sertraline,SMILES231,SideEffect43,TargetClass17,Pathway8,1
Breast Cancer,Gene79,Trastuzumab,SMILES360,SideEffect35,TargetClass16,Pathway3,1
COVID-19,Gene56,Molnupiravir,SMILES99,SideEffect5,TargetClass2,Pathway14,1
Parkinson's disease,Gene50,Carbidopa,SMILES469,SideEffect21,TargetClass5,Pathway4,1
Parkinson's disease,Gene69,Levodopa,SMILES329,SideEffect11,TargetClass15,Pathway7,1
Lung Cancer,Gene40,Gefitinib,SMILES190,SideEffect14,TargetClass2,Pathway3,1
COVID-19,Gene14,Molnupiravir,SMILES39,SideEffect3,TargetClass10,Pathway11,1
Type 2 Diabetes,Gene1,Glipizide,SMILES58,SideEffect3,TargetClass8,Pathway10,1
Breast Cancer,Gene5,Tamoxifen,SMILES13,SideEffect19,TargetClass12,Pathway9,1
Alzheimer's disease,Gene76,Metformin,SMILES266,SideEffect10,TargetClass18,Pathway12,0
Type 2 Diabetes,Gene14,Metformin,SMILES411,SideEffect16,TargetClass2,Pathway3,1
Depression,Gene36,Carbidopa,SMILES151,SideEffect24,TargetClass14,Pathway3,0
Type 2 Diabetes,Gene87,Remdesivir,SMILES127,SideEffect6,TargetClass9,Pathway3,0
Alzheimer's disease,Gene75,Gefitinib,SMILES143,SideEffect35,TargetClass13,Pathway5,0
Alzheimer's disease,Gene5,Trastuzumab,SMILES29,SideEffect37,TargetClass6,Pathway3,0
Type 2 Diabetes,Gene87,Sertraline,SMILES369,SideEffect22,TargetClass19,Pathway4,0
Parkinson's disease,Gene58,Levodopa,SMILES216,SideEffect17,TargetClass7,Pathway10,1
Lung Cancer,Gene48,Erlotinib,SMILES288,SideEffect35,TargetClass10,Pathway2,1
Alzheimer's disease,Gene47,Memantine,SMILES109,SideEffect18,TargetClass17,Pathway1,1
Type 2 Diabetes,Gene92,Metformin,SMILES233,SideEffect32,TargetClass11,Pathway4,1
Type 2 Diabetes,Gene36,Glipizide,SMILES410,SideEffect33,TargetClass4,Pathway4,1
Breast Cancer,Gene39,Molnupiravir,SMILES467,SideEffect5,TargetClass11,Pathway7,0
COVID-19,Gene58,Molnupiravir,SMILES383,SideEffect31,TargetClass12,Pathway8,1
Lung Cancer,Gene82,Molnupiravir,SMILES371,SideEffect5,TargetClass15,Pathway9,0
Parkinson's disease,Gene68,Carbidopa,SMILES424,SideEffect43,TargetClass3,Pathway3,1
Parkinson's disease,Gene20,Levodopa,SMILES4,SideEffect24,TargetClass12,Pathway12,1
Parkinson's disease,Gene67,Carbidopa,SMILES4,SideEffect6,TargetClass9,Pathway10,1
Breast Cancer,Gene68,Tamoxifen,SMILES426,SideEffect12,TargetClass7,Pathway7,1
Type 2 Diabetes,Gene63,Glipizide,SMILES257,SideEffect47,TargetClass4,Pathway9,1
Lung Cancer,Gene42,Gefitinib,SMILES228,SideEffect18,TargetClass6,Pathway4,1
COVID-19,Gene10,Remdesivir,SMILES140,SideEffect19,TargetClass8,Pathway7,1
COVID-19,Gene40,Remdesivir,SMILES26,SideEffect19,TargetClass13,Pathway7,1
Lung Cancer,Gene37,Erlotinib,SMILES261,SideEffect47,TargetClass10,Pathway12,1
COVID-19,Gene3,Remdesivir,SMILES318,SideEffect31,TargetClass13,Pathway6,1
Alzheimer's disease,Gene80,Donepezil,SMILES172,SideEffect27,TargetClass14,Pathway2,1
COVID-19,Gene23,Molnupiravir,SMILES213,SideEffect26,TargetClass15,Pathway5,1
COVID-19,Gene24,Molnupiravir,SMILES358,SideEffect34,TargetClass8,Pathway11,1
Type 2 Diabetes,Gene73,Erlotinib,SMILES231,SideEffect4,TargetClass16,Pathway14,0
COVID-19,Gene97,Remdesivir,SMILES328,SideEffect13,TargetClass17,Pathway8,1
Type 2 Diabetes,Gene86,Metformin,SMILES53,SideEffect28,TargetClass19,Pathway5,1
Breast Cancer,Gene6,Tamoxifen,SMILES6,SideEffect37,TargetClass1,Pathway8,1
Depression,Gene55,Donepezil,SMILES141,SideEffect9,TargetClass15,Pathway9,0
Breast Cancer,Gene5,Tamoxifen,SMILES416,SideEffect25,TargetClass13,Pathway8,1
Parkinson's disease,Gene66,Levodopa,SMILES210,SideEffect46,TargetClass6,Pathway14,1
Alzheimer's disease,Gene88,Donepezil,SMILES302,SideEffect15,TargetClass3,Pathway8,1
Lung Cancer,Gene39,Gefitinib,SMILES314,SideEffect24,TargetClass19,Pathway10,1
Breast Cancer,Gene78,Trastuzumab,SMILES377,SideEffect18,TargetClass16,Pathway3,1
Breast Cancer,Gene42,Tamoxifen,SMILES32,SideEffect32,TargetClass7,Pathway6,1
Breast Cancer,Gene66,Memantine,SMILES461,SideEffect8,TargetClass12,Pathway5,0
COVID-19,Gene27,Carbidopa,SMILES29,SideEffect15,TargetClass14,Pathway5,0
Type 2 Diabetes,Gene2,Glipizide,SMILES297,SideEffect18,TargetClass5,Pathway6,1
Depression,Gene79,Remdesivir,SMILES374,SideEffect1,TargetClass13,Pathway4,0
Alzheimer's disease,Gene78,Donepezil,SMILES264,SideEffect20,TargetClass18,Pathway7,1
COVID-19,Gene87,Molnupiravir,SMILES441,SideEffect11,TargetClass12,Pathway10,1
Lung Cancer,Gene80,Gefitinib,SMILES82,SideEffect41,TargetClass13,Pathway4,1
Depression,Gene53,Fluoxetine,SMILES6,SideEffect25,TargetClass15,Pathway6,1
Breast Cancer,Gene49,Trastuzumab,SMILES236,SideEffect37,TargetClass12,Pathway3,1
Type 2 Diabetes,Gene52,Metformin,SMILES323,SideEffect34,TargetClass12,Pathway8,1
Lung Cancer,Gene80,Erlotinib,SMILES16,SideEffect44,TargetClass18,Pathway11,1
Breast Cancer,Gene95,Gefitinib,SMILES352,SideEffect21,TargetClass18,Pathway12,0
Lung Cancer,Gene18,Erlotinib,SMILES355,SideEffect45,TargetClass19,Pathway13,1
Parkinson's disease,Gene22,Levodopa,SMILES172,SideEffect17,TargetClass16,Pathway1,1
